place_code,item_name_zh,item_name_en,item_name_ja,type,location
P-1,蘭陽博物館,Lanyang Museum,宜蘭県立蘭陽博物館,place,宜蘭縣頭城鎮
P-2,外澳海灘,Wai’ao Beach,外澳ビーチ,place,宜蘭縣頭城鎮
P-3,烏石漁港,Wushi Fishing Harbor,烏石漁港,place,宜蘭縣頭城鎮
P-4,頭城老街,Toucheng Old Street,頭城老街,place,宜蘭縣頭城鎮
P-5,龜山島賞鯨,Guishan Island Whale Watching,亀山島ホエールウォッチング,place,宜蘭縣頭城鎮
P-6,北關海潮一線天,Beiguan Tidal Gorge,北関海潮一線天,place,宜蘭縣頭城鎮
P-7,金車伯朗咖啡城堡,Mr. Brown Café Castle,ミスターブラウン・コーヒーキャッスル,place,宜蘭縣頭城鎮
P-8,慶元宮,Qingyuan Temple,慶元宮,place,宜蘭縣頭城鎮
P-9,頭城濱海森林公園,Toucheng Coastal Forest Park,頭城浜海森林公園,place,新北市貢寮區 / 宜蘭縣頭城鎮
P-10,草嶺古道,Caoling Historic Trail,草嶺古道,place,宜蘭縣頭城鎮
P-11,九號咖啡石城館,No.9 Café (Shicheng),9号カフェ（石城館）,place,宜蘭縣頭城鎮
P-12,蟾蜍山觀景台,Toad Mountain Observation Deck,蟾蜍山展望台,place,宜蘭縣頭城鎮
P-13,大里天公廟,Dali Tiangong Temple,大里天公廟,place,宜蘭縣頭城鎮
P-14,大溪漁港,Daxi Fishing Harbor,大溪漁港,place,宜蘭縣頭城鎮
P-15,頭城農場,Toucheng Leisure Farm,頭城レジャーファーム,place,宜蘭縣頭城鎮
E-1,頭城老街小吃,Toucheng Old Street Snacks,老街屋台グルメ,eat,宜蘭縣頭城鎮
E-2,品誼古早味小吃,Pinyi traditional cuisine,品誼 伝統的なスナック,eat,宜蘭縣頭城鎮
E-3,龍記牛肉麵,Long Ji Beef Noodles,龍記牛肉麺,eat,宜蘭縣頭城鎮
E-4,吉祥鮮肉小籠包,Jixiang Steamed Pork Dumplings,吉祥小籠包,eat,宜蘭縣頭城鎮
E-5,阿宗芋冰城,A-Zong Taro Ice City,阿宗タロイモアイス,eat,宜蘭縣頭城鎮
E-6,老張早餐吧,Lao Zhang Breakfast Bar,老張朝食店,eat,宜蘭縣頭城鎮
E-7,Hito石花凍,Hito Grass Jelly,Hito 石の花ゼリー,eat,宜蘭縣頭城鎮
E-8,頭城車站阿伯蔥油餅,Toucheng Station Scallion Pancakes,頭城駅おじさんのネギ餅,eat,宜蘭縣頭城鎮
E-9,屋台拉麵,Street Ramen Stall,屋台ラーメン,eat,宜蘭縣頭城鎮
E-10,頂埔阿嬤蔥油餅,Dingpu Grandma’s Scallion Pancakes,頂埔おばあちゃんのネギ餅,eat,宜蘭縣頭城鎮
E-11,春捲伯,Uncle's Spring Rolls,春巻きおじさん,eat,宜蘭縣頭城鎮
E-12,烏石漁港,Wushi Fishing Harbor,烏石漁港,eat,宜蘭縣頭城鎮
E-13,金車伯朗咖啡城堡,Mr. Brown Café Castle,ミスターブラウン・コーヒーキャッスル,eat,宜蘭縣頭城鎮
E-14,九號咖啡石城館,No.9 Café (Shicheng),9号カフェ（石城館）,eat,宜蘭縣頭城鎮
E-15,大溪漁港,Daxi Fishing Harbor,大溪漁港,eat,宜蘭縣頭城鎮
E-16,奶油麵包烘焙坊,Bread & Butter Bakery,ブレッド＆バター,eat,宜蘭縣頭城鎮
E-17,奶酥人,Naishu Ren (Milk Spread Toast),奶酥人（ミルクカスタードトースト）,eat,宜蘭縣礁溪鄉
G-1,奕順軒,Yishunxuan,奕順軒,gift,宜蘭縣頭城鎮
G-2,橘之鄉,Orange Village,橘之郷,gift,宜蘭縣頭城鎮
G-3,三合餅舖,Sanhe Bakery,三合餅舗,gift,宜蘭縣頭城鎮
G-4,新協珍餅店,Sin Hsieh Chen Bakery,新協珍ベーカリー,gift,宜蘭縣頭城鎮
G-5,大溪漁港新鮮漁貨,Daxi Fishing Harbor Fresh Seafood,大溪漁港・新鮮魚介,gift,宜蘭縣頭城鎮
G-6,頭圍農驛品牌館,Touwei Farmer’s Market,頭囲農駅（地元農産物直売所）,gift,宜蘭縣礁溪鄉
G-7,諾貝爾奶凍捲,Nobel Milk Roll Cake,ノーベルミルクロール,gift,宜蘭縣頭城鎮
G-8,奶油麵包烘焙坊,Bread & Butter Bakery,ブレッド＆バター,gift,宜蘭縣頭城鎮
G-9,奶酥人,Naishu Ren (Milk Spread Toast),奶酥人（ミルクカスタードトースト）,gift,宜蘭縣頭城鎮
G-10,極品四季香肉鬆,Premium Four-Season Pork Floss,極上四季香肉松,gift,宜蘭縣頭城鎮